"Class Molecular Function"	"Total of Genes"
"GO:0009977 - proton motive force dependent protein transmembrane transporter activity"	3
"GO:0015038 - glutathione disulfide oxidoreductase activity"	3
"GO:0015081 - sodium ion transmembrane transporter activity"	3
"GO:0015086 - cadmium ion transmembrane transporter activity"	3
"GO:0015113 - nitrite transmembrane transporter activity"	3
"GO:0015147 - L-arabinose transmembrane transporter activity"	3
"GO:0015159 - polysaccharide transmembrane transporter activity"	3
"GO:0015195 - L-threonine transmembrane transporter activity"	3
"GO:0015199 - amino-acid betaine transmembrane transporter activity"	3
"GO:0015267 - channel activity"	3
"GO:0015407 - ABC-type monosaccharide transporter activity"	3
"GO:0015415 - ATPase-coupled phosphate ion transmembrane transporter activity"	3
"GO:0015420 - ABC-type vitamin B12 transporter activity"	3
"GO:0015423 - ABC-type maltose transporter activity"	3
"GO:0015426 - ATPase-coupled polar amino acid-transporter activity"	3
"GO:0015439 - ABC-type heme transporter activity"	3
"GO:0015450 - protein-transporting ATPase activity"	3
"GO:0015546 - sulfathiazole transmembrane transporter activity"	3
"GO:0015592 - methylgalactoside transmembrane transporter activity"	3
"GO:0015648 - lipid-linked peptidoglycan transporter activity"	3
"GO:0015926 - glucosidase activity"	3
"GO:0016149 - translation release factor activity, codon specific"	3
"GO:0016434 - rRNA (cytosine) methyltransferase activity"	3
"GO:0016661 - oxidoreductase activity, acting on other nitrogenous compounds as donors"	3
"GO:0016672 - oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor"	3
"GO:0016684 - oxidoreductase activity, acting on peroxide as acceptor"	3
"GO:0016722 - oxidoreductase activity, acting on metal ions"	3
"GO:0016813 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines"	3
"GO:0016817 - hydrolase activity, acting on acid anhydrides"	3
"GO:0016833 - oxo-acid-lyase activity"	3
"GO:0016901 - oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor"	3
"GO:0017018 - myosin phosphatase activity"	3
"GO:0017150 - tRNA dihydrouridine synthase activity"	3
"GO:0017168 - 5-oxoprolinase (ATP-hydrolyzing) activity"	3
"GO:0019145 - aminobutyraldehyde dehydrogenase activity"	3
"GO:0019154 - glycolate dehydrogenase activity"	3
"GO:0019168 - 2-octaprenylphenol hydroxylase activity"	3
"GO:0019200 - carbohydrate kinase activity"	3
"GO:0019808 - polyamine binding"	3
"GO:0019829 - ATPase-coupled monoatomic cation transmembrane transporter activity"	3
"GO:0022870 - protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity"	3
"GO:0030414 - peptidase inhibitor activity"	3
"GO:0030572 - phosphatidyltransferase activity"	3
"GO:0030674 - protein-macromolecule adaptor activity"	3
"GO:0031071 - cysteine desulfurase activity"	3
"GO:0031177 - phosphopantetheine binding"	3
"GO:0031402 - sodium ion binding"	3
"GO:0031418 - L-ascorbic acid binding"	3
"GO:0031956 - medium-chain fatty acid-CoA ligase activity"	3
"GO:0031992 - energy transducer activity"	3
"GO:0033592 - RNA strand annealing activity"	3
"GO:0033677 - DNA/RNA helicase activity"	3
"GO:0034338 - short-chain carboxylesterase activity"	3
"GO:0034458 - 3'-5' RNA helicase activity"	3
"GO:0034567 - chromate reductase activity"	3
"GO:0034634 - glutathione transmembrane transporter activity"	3
"GO:0036524 - protein deglycase activity"	3
"GO:0042132 - fructose 1,6-bisphosphate 1-phosphatase activity"	3
"GO:0042277 - peptide binding"	3
"GO:0042279 - nitrite reductase (cytochrome, ammonia-forming) activity"	3
"GO:0042301 - phosphate ion binding"	3
"GO:0042602 - riboflavin reductase (NADPH) activity"	3
"GO:0042912 - colicin transmembrane transporter activity"	3
"GO:0042959 - alkanesulfonate transmembrane transporter activity"	3
"GO:0043169 - cation binding"	3
"GO:0043879 - glycolate transmembrane transporter activity"	3
"GO:0043906 - Ala-tRNA(Pro) hydrolase activity"	3
"GO:0044729 - hemi-methylated DNA-binding"	3
"GO:0045437 - uridine nucleosidase activity"	3
"GO:0046857 - oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor"	3
"GO:0046912 - acyltransferase activity, acyl groups converted into alkyl on transfer"	3
"GO:0047324 - phosphoenolpyruvate-glycerone phosphotransferase activity"	3
"GO:0047527 - 2,3-dihydroxybenzoate-serine ligase activity"	3
"GO:0047693 - ATP diphosphatase activity"	3
"GO:0047770 - carboxylate reductase activity"	3
"GO:0047809 - D-2-hydroxy-acid dehydrogenase activity"	3
"GO:0047975 - guanosine phosphorylase activity"	3
"GO:0050263 - ribosylpyrimidine nucleosidase activity"	3
"GO:0050286 - sorbitol-6-phosphatase activity"	3
"GO:0052665 - tRNA (uracil-2'-O-)-methyltransferase activity"	3
"GO:0060241 - lysozyme inhibitor activity"	3
"GO:0070678 - preprotein binding"	3
"GO:0090584 - protein-phosphocysteine-galactitol-phosphotransferase system transporter activity"	3
"GO:0090585 - protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity"	3
"GO:0090589 - protein-phosphocysteine-trehalose phosphotransferase system transporter activity"	3
"GO:0090729 - toxin activity"	3
"GO:0097627 - high-affinity L-ornithine transmembrane transporter activity"	3
"GO:0103045 - methione N-acyltransferase activity"	3
"GO:0140078 - class I DNA-(apurinic or apyrimidinic site) endonuclease activity"	3
"GO:0140306 - lipoprotein releasing activity"	3
"GO:0140691 - RNA folding chaperone"	3
"GO:0140824 - thioredoxin-dependent peroxiredoxin activity"	3
"GO:0140911 - pore-forming activity"	3
"GO:1903231 - mRNA base-pairing translational repressor activity"	3
"GO:0000099 - sulfur amino acid transmembrane transporter activity"	2
"GO:0000107 - imidazoleglycerol-phosphate synthase activity"	2
"GO:0000309 - nicotinamide-nucleotide adenylyltransferase activity"	2
"GO:0000405 - bubble DNA binding"	2
"GO:0001073 - transcription antitermination factor activity, DNA binding"	2
"GO:0001406 - glycerophosphodiester transmembrane transporter activity"	2
"GO:0001618 - virus receptor activity"	2
"GO:0001671 - ATPase activator activity"	2
"GO:0002145 - 4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphatase activity"	2
"GO:0002196 - Ser-tRNA(Ala) hydrolase activity"	2
"GO:0002953 - 5'-deoxynucleotidase activity"	2
"GO:0003852 - 2-isopropylmalate synthase activity"	2
"GO:0003855 - 3-dehydroquinate dehydratase activity"	2
"GO:0003861 - 3-isopropylmalate dehydratase activity"	2
"GO:0003862 - 3-isopropylmalate dehydrogenase activity"	2
"GO:0003867 - 4-aminobutyrate transaminase activity"	2
"GO:0003872 - 6-phosphofructokinase activity"	2
"GO:0003877 - ATP adenylyltransferase activity"	2
"GO:0003908 - methylated-DNA-[protein]-cysteine S-methyltransferase activity"	2
"GO:0003911 - DNA ligase (NAD+) activity"	2
"GO:0003935 - GTP cyclohydrolase II activity"	2
"GO:0003942 - N-acetyl-gamma-glutamyl-phosphate reductase activity"	2
"GO:0003950 - NAD+ ADP-ribosyltransferase activity"	2
"GO:0003951 - NAD+ kinase activity"	2
"GO:0003983 - UTP:glucose-1-phosphate uridylyltransferase activity"	2
"GO:0003993 - acid phosphatase activity"	2
"GO:0004000 - adenosine deaminase activity"	2
"GO:0004017 - adenylate kinase activity"	2
"GO:0004035 - alkaline phosphatase activity"	2
"GO:0004042 - acetyl-CoA:L-glutamate N-acetyltransferase activity"	2
"GO:0004045 - aminoacyl-tRNA hydrolase activity"	2
"GO:0004048 - anthranilate phosphoribosyltransferase activity"	2
"GO:0004070 - aspartate carbamoyltransferase activity"	2
"GO:0004071 - aspartate-ammonia ligase activity"	2
"GO:0004084 - branched-chain-amino-acid transaminase activity"	2
"GO:0004089 - carbonate dehydratase activity"	2
"GO:0004106 - chorismate mutase activity"	2
"GO:0004108 - citrate (Si)-synthase activity"	2
"GO:0004112 - cyclic-nucleotide phosphodiesterase activity"	2
"GO:0004121 - cystathionine beta-lyase activity"	2
"GO:0004127 - cytidylate kinase activity"	2
"GO:0004131 - cytosine deaminase activity"	2
"GO:0004143 - ATP-dependent diacylglycerol kinase activity"	2
"GO:0004146 - dihydrofolate reductase activity"	2
"GO:0004148 - dihydrolipoyl dehydrogenase activity"	2
"GO:0004150 - dihydroneopterin aldolase activity"	2
"GO:0004151 - dihydroorotase activity"	2
"GO:0004159 - dihydropyrimidine dehydrogenase (NAD+) activity"	2
"GO:0004170 - dUTP diphosphatase activity"	2
"GO:0004185 - serine-type carboxypeptidase activity"	2
"GO:0004309 - exopolyphosphatase activity"	2
"GO:0004317 - (3R)-3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity"	2
"GO:0004335 - galactokinase activity"	2
"GO:0004340 - glucokinase activity"	2
"GO:0004347 - glucose-6-phosphate isomerase activity"	2
"GO:0004351 - glutamate decarboxylase activity"	2
"GO:0004355 - glutamate synthase (NADPH) activity"	2
"GO:0004356 - glutamine synthetase activity"	2
"GO:0004357 - glutamate-cysteine ligase activity"	2
"GO:0004360 - glutamine-fructose-6-phosphate transaminase (isomerizing) activity"	2
"GO:0004365 - glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	2
"GO:0004366 - glycerol-3-phosphate O-acyltransferase activity"	2
"GO:0004371 - glycerone kinase activity"	2
"GO:0004396 - hexokinase activity"	2
"GO:0004412 - homoserine dehydrogenase activity"	2
"GO:0004422 - hypoxanthine phosphoribosyltransferase activity"	2
"GO:0004452 - isopentenyl-diphosphate delta-isomerase activity"	2
"GO:0004467 - long-chain fatty acid-CoA ligase activity"	2
"GO:0004470 - malic enzyme activity"	2
"GO:0004474 - malate synthase activity"	2
"GO:0004523 - RNA-DNA hybrid ribonuclease activity"	2
"GO:0004526 - ribonuclease P activity"	2
"GO:0004536 - DNA nuclease activity"	2
"GO:0004550 - nucleoside diphosphate kinase activity"	2
"GO:0004565 - beta-galactosidase activity"	2
"GO:0004586 - ornithine decarboxylase activity"	2
"GO:0004615 - phosphomannomutase activity"	2
"GO:0004637 - phosphoribosylamine-glycine ligase activity"	2
"GO:0004644 - phosphoribosylglycinamide formyltransferase activity"	2
"GO:0004725 - protein tyrosine phosphatase activity"	2
"GO:0004738 - pyruvate dehydrogenase activity"	2
"GO:0004743 - pyruvate kinase activity"	2
"GO:0004751 - ribose-5-phosphate isomerase activity"	2
"GO:0004781 - sulfate adenylyltransferase (ATP) activity"	2
"GO:0004783 - sulfite reductase (NADPH) activity"	2
"GO:0004791 - thioredoxin-disulfide reductase (NADP) activity"	2
"GO:0004793 - threonine aldolase activity"	2
"GO:0004794 - threonine deaminase activity"	2
"GO:0004801 - transaldolase activity"	2
"GO:0004802 - transketolase activity"	2
"GO:0004805 - trehalose-phosphatase activity"	2
"GO:0004810 - CCA tRNA nucleotidyltransferase activity"	2
"GO:0004814 - arginine-tRNA ligase activity"	2
"GO:0004818 - glutamate-tRNA ligase activity"	2
"GO:0004820 - glycine-tRNA ligase activity"	2
"GO:0004826 - phenylalanine-tRNA ligase activity"	2
"GO:0004831 - tyrosine-tRNA ligase activity"	2
"GO:0004834 - tryptophan synthase activity"	2
"GO:0004838 - L-tyrosine:2-oxoglutarate aminotransferase activity"	2
"GO:0004850 - uridine phosphorylase activity"	2
"GO:0004854 - xanthine dehydrogenase activity"	2
"GO:0004866 - endopeptidase inhibitor activity"	2
"GO:0005254 - chloride channel activity"	2
"GO:0005275 - amine transmembrane transporter activity"	2
"GO:0005324 - long-chain fatty acid transporter activity"	2
"GO:0005354 - galactose transmembrane transporter activity"	2
"GO:0005368 - taurine transmembrane transporter activity"	2
"GO:0005381 - iron ion transmembrane transporter activity"	2
"GO:0005384 - manganese ion transmembrane transporter activity"	2
"GO:0005477 - pyruvate secondary active transmembrane transporter activity"	2
"GO:0005504 - fatty acid binding"	2
"GO:0005534 - galactose binding"	2
"GO:0005536 - glucose binding"	2
"GO:0005537 - mannose binding"	2
"GO:0005542 - folic acid binding"	2
"GO:0005548 - phospholipid transporter activity"	2
"GO:0008092 - cytoskeletal protein binding"	2
"GO:0008143 - poly(A) binding"	2
"GO:0008146 - sulfotransferase activity"	2
"GO:0008184 - glycogen phosphorylase activity"	2
"GO:0008186 - ATP-dependent activity, acting on RNA"	2
"GO:0008254 - 3'-nucleotidase activity"	2
"GO:0008301 - DNA binding, bending"	2
"GO:0008312 - 7S RNA binding"	2
"GO:0008409 - 5'-3' exonuclease activity"	2
"GO:0008413 - 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity"	2
"GO:0008417 - fucosyltransferase activity"	2
"GO:0008425 - 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"	2
"GO:0008442 - 3-hydroxyisobutyrate dehydrogenase activity"	2
"GO:0008443 - phosphofructokinase activity"	2
"GO:0008444 - CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity"	2
"GO:0008448 - N-acetylglucosamine-6-phosphate deacetylase activity"	2
"GO:0008452 - RNA ligase activity"	2
"GO:0008460 - dTDP-glucose 4,6-dehydratase activity"	2
"GO:0008465 - glycerate dehydrogenase activity"	2
"GO:0008478 - pyridoxal kinase activity"	2
"GO:0008564 - protein-exporting ATPase activity"	2
"GO:0008657 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity"	2
"GO:0008659 - (3R)-3-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity"	2
"GO:0008673 - 2-dehydro-3-deoxygluconokinase activity"	2
"GO:0008677 - 2-dehydropantoate 2-reductase activity"	2
"GO:0008679 - 2-hydroxy-3-oxopropionate reductase activity"	2
"GO:0008686 - 3,4-dihydroxy-2-butanone-4-phosphate synthase activity"	2
"GO:0008692 - 3-hydroxybutyryl-CoA epimerase activity"	2
"GO:0008693 - (3R)-3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity"	2
"GO:0008700 - 4-hydroxy-2-oxoglutarate aldolase activity"	2
"GO:0008705 - methionine synthase activity"	2
"GO:0008714 - AMP nucleosidase activity"	2
"GO:0008716 - D-alanine-D-alanine ligase activity"	2
"GO:0008725 - DNA-3-methyladenine glycosylase activity"	2
"GO:0008726 - alkanesulfonate monooxygenase activity"	2
"GO:0008728 - GTP diphosphokinase activity"	2
"GO:0008730 - L(+)-tartrate dehydratase activity"	2
"GO:0008732 - L-allo-threonine aldolase activity"	2
"GO:0008735 - L-carnitine CoA-transferase activity"	2
"GO:0008743 - L-threonine 3-dehydrogenase activity"	2
"GO:0008750 - NAD(P)+ transhydrogenase (AB-specific) activity"	2
"GO:0008752 - FMN reductase (NAD(P)H) activity"	2
"GO:0008758 - UDP-2,3-diacylglucosamine hydrolase activity"	2
"GO:0008777 - acetylornithine deacetylase activity"	2
"GO:0008794 - arsenate reductase (glutaredoxin) activity"	2
"GO:0008798 - beta-aspartyl-peptidase activity"	2
"GO:0008808 - cardiolipin synthase activity"	2
"GO:0008815 - citrate (pro-3S)-lyase activity"	2
"GO:0008817 - corrinoid adenosyltransferase activity"	2
"GO:0008826 - cysteine sulfinate desulfinase activity"	2
"GO:0008851 - ethanolamine ammonia-lyase activity"	2
"GO:0008855 - exodeoxyribonuclease VII activity"	2
"GO:0008859 - exoribonuclease II activity"	2
"GO:0008877 - glucose-1-phosphatase activity"	2
"GO:0008879 - glucose-1-phosphate thymidylyltransferase activity"	2
"GO:0008883 - glutamyl-tRNA reductase activity"	2
"GO:0008884 - glutathionylspermidine amidase activity"	2
"GO:0008885 - glutathionylspermidine synthase activity"	2
"GO:0008889 - glycerophosphodiester phosphodiesterase activity"	2
"GO:0008893 - guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity"	2
"GO:0008902 - hydroxymethylpyrimidine kinase activity"	2
"GO:0008903 - hydroxypyruvate isomerase activity"	2
"GO:0008909 - isochorismate synthase activity"	2
"GO:0008918 - lipopolysaccharide 3-alpha-galactosyltransferase activity"	2
"GO:0008919 - lipopolysaccharide glucosyltransferase I activity"	2
"GO:0008921 - lipopolysaccharide-1,6-galactosyltransferase activity"	2
"GO:0008923 - lysine decarboxylase activity"	2
"GO:0008926 - mannitol-1-phosphate 5-dehydrogenase activity"	2
"GO:0008959 - phosphate acetyltransferase activity"	2
"GO:0008963 - phospho-N-acetylmuramoyl-pentapeptide-transferase activity"	2
"GO:0008973 - phosphopentomutase activity"	2
"GO:0008979 - prophage integrase activity"	2
"GO:0008988 - rRNA (adenine-N6-)-methyltransferase activity"	2
"GO:0009001 - serine O-acetyltransferase activity"	2
"GO:0009013 - succinate-semialdehyde dehydrogenase [NAD(P)+] activity"	2
"GO:0009026 - tagaturonate reductase activity"	2
"GO:0009032 - thymidine phosphorylase activity"	2
"GO:0009033 - trimethylamine-N-oxide reductase activity"	2
"GO:0009037 - tyrosine-based site-specific recombinase activity"	2
"GO:0009392 - N-acetyl-anhydromuramoyl-L-alanine amidase activity"	2
"GO:0010385 - double-stranded methylated DNA binding"	2
"GO:0015020 - glucuronosyltransferase activity"	2
"GO:0015080 - silver ion transmembrane transporter activity"	2
"GO:0015087 - cobalt ion transmembrane transporter activity"	2
"GO:0015095 - magnesium ion transmembrane transporter activity"	2
"GO:0015098 - molybdate ion transmembrane transporter activity"	2
"GO:0015112 - nitrate transmembrane transporter activity"	2
"GO:0015129 - lactate transmembrane transporter activity"	2
"GO:0015136 - sialic acid transmembrane transporter activity"	2
"GO:0015138 - fumarate transmembrane transporter activity"	2
"GO:0015141 - succinate transmembrane transporter activity"	2
"GO:0015150 - fucose transmembrane transporter activity"	2
"GO:0015179 - L-amino acid transmembrane transporter activity"	2
"GO:0015183 - L-aspartate transmembrane transporter activity"	2
"GO:0015186 - L-glutamine transmembrane transporter activity"	2
"GO:0015191 - L-methionine transmembrane transporter activity"	2
"GO:0015196 - L-tryptophan transmembrane transporter activity"	2
"GO:0015207 - adenine transmembrane transporter activity"	2
"GO:0015208 - guanine transmembrane transporter activity"	2
"GO:0015210 - uracil transmembrane transporter activity"	2
"GO:0015211 - purine nucleoside transmembrane transporter activity"	2
"GO:0015226 - carnitine transmembrane transporter activity"	2
"GO:0015234 - thiamine transmembrane transporter activity"	2
"GO:0015252 - proton channel activity"	2
"GO:0015292 - uniporter activity"	2
"GO:0015294 - solute:monoatomic cation symporter activity"	2
"GO:0015296 - monoatomic anion:monoatomic cation symporter activity"	2
"GO:0015379 - potassium:chloride symporter activity"	2
"GO:0015389 - pyrimidine- and adenosine-specific:sodium symporter activity"	2
"GO:0015390 - purine-specific nucleoside:sodium symporter activity"	2
"GO:0015399 - primary active transmembrane transporter activity"	2
"GO:0015412 - ABC-type molybdate transporter activity"	2
"GO:0015475 - adhesin autotransporter activity"	2
"GO:0015478 - oligosaccharide transporting porin activity"	2
"GO:0015481 - maltose transporting porin activity"	2
"GO:0015503 - glutathione-regulated potassium exporter activity"	2
"GO:0015505 - uracil:monoatomic cation symporter activity"	2
"GO:0015506 - nucleoside:proton symporter activity"	2
"GO:0015517 - galactose:proton symporter activity"	2
"GO:0015528 - lactose:proton symporter activity"	2
"GO:0015567 - alkane transmembrane transporter activity"	2
"GO:0015577 - galactitol transmembrane transporter activity"	2
"GO:0015591 - D-ribose transmembrane transporter activity"	2
"GO:0015593 - allose transmembrane transporter activity"	2
"GO:0015594 - ABC-type putrescine transporter activity"	2
"GO:0015603 - iron chelate transmembrane transporter activity"	2
"GO:0015606 - spermidine transmembrane transporter activity"	2
"GO:0015611 - ABC-type D-ribose transporter activity"	2
"GO:0015654 - tellurite transmembrane transporter activity"	2
"GO:0015666 - restriction endodeoxyribonuclease activity"	2
"GO:0016034 - maleylacetoacetate isomerase activity"	2
"GO:0016154 - pyrimidine-nucleoside phosphorylase activity"	2
"GO:0016297 - fatty acyl-[ACP] hydrolase activity"	2
"GO:0016298 - lipase activity"	2
"GO:0016405 - CoA-ligase activity"	2
"GO:0016410 - N-acyltransferase activity"	2
"GO:0016436 - rRNA (uridine) methyltransferase activity"	2
"GO:0016509 - long-chain-3-hydroxyacyl-CoA dehydrogenase activity"	2
"GO:0016531 - copper chaperone activity"	2
"GO:0016618 - hydroxypyruvate reductase activity"	2
"GO:0016628 - oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"	2
"GO:0016638 - oxidoreductase activity, acting on the CH-NH2 group of donors"	2
"GO:0016646 - oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor"	2
"GO:0016671 - oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	2
"GO:0016706 - 2-oxoglutarate-dependent dioxygenase activity"	2
"GO:0016726 - oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor"	2
"GO:0016741 - transferase activity, transferring one-carbon groups"	2
"GO:0016742 - hydroxymethyl-, formyl- and related transferase activity"	2
"GO:0016803 - ether hydrolase activity"	2
"GO:0016812 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides"	2
"GO:0016837 - carbon-oxygen lyase activity, acting on polysaccharides"	2
"GO:0016854 - racemase and epimerase activity"	2
"GO:0016888 - endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	2
"GO:0016966 - nitric oxide reductase activity"	2
"GO:0017089 - glycolipid transfer activity"	2
"GO:0017108 - 5'-flap endonuclease activity"	2
"GO:0017110 - nucleoside diphosphate phosphatase activity"	2
"GO:0018738 - S-formylglutathione hydrolase activity"	2
"GO:0019144 - ADP-sugar diphosphatase activity"	2
"GO:0019146 - arabinose-5-phosphate isomerase activity"	2
"GO:0019171 - (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity"	2
"GO:0019172 - glyoxalase III activity"	2
"GO:0019810 - putrescine binding"	2
"GO:0019825 - oxygen binding"	2
"GO:0022834 - ligand-gated channel activity"	2
"GO:0022872 - protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity"	2
"GO:0030267 - glyoxylate reductase (NADP+) activity"	2
"GO:0030337 - DNA polymerase processivity factor activity"	2
"GO:0030371 - translation repressor activity"	2
"GO:0030395 - lactose binding"	2
"GO:0030983 - mismatched DNA binding"	2
"GO:0031405 - lipoic acid binding"	2
"GO:0032067 - type IV site-specific deoxyribonuclease activity"	2
"GO:0032450 - maltose alpha-glucosidase activity"	2
"GO:0032561 - guanyl ribonucleotide binding"	2
"GO:0032977 - membrane insertase activity"	2
"GO:0033229 - cysteine transmembrane transporter activity"	2
"GO:0033232 - ABC-type D-methionine transporter activity"	2
"GO:0033558 - protein lysine deacetylase activity"	2
"GO:0033721 - aldehyde dehydrogenase (NADP+) activity"	2
"GO:0033744 - L-methionine:thioredoxin-disulfide S-oxidoreductase activity"	2
"GO:0033745 - L-methionine-(R)-S-oxide reductase activity"	2
"GO:0033797 - selenate reductase activity"	2
"GO:0033862 - UMP kinase activity"	2
"GO:0033883 - pyridoxal phosphatase activity"	2
"GO:0033982 - 3-dehydro-L-gulonate-6-phosphate decarboxylase activity"	2
"GO:0034015 - L-ribulose-5-phosphate 3-epimerase activity"	2
"GO:0034039 - 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity"	2
"GO:0034335 - DNA negative supercoiling activity"	2
"GO:0034386 - 4-aminobutyrate:2-oxoglutarate transaminase activity"	2
"GO:0034618 - arginine binding"	2
"GO:0034986 - iron chaperone activity"	2
"GO:0035527 - 3-hydroxypropionate dehydrogenase (NADP+) activity"	2
"GO:0035539 - 8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity"	2
"GO:0035596 - methylthiotransferase activity"	2
"GO:0036009 - protein-glutamine N-methyltransferase activity"	2
"GO:0036218 - dTTP diphosphatase activity"	2
"GO:0036221 - UTP diphosphatase activity"	2
"GO:0036243 - succinate-semialdehyde dehydrogenase (NADP+) activity"	2
"GO:0036361 - racemase activity, acting on amino acids and derivatives"	2
"GO:0036424 - L-phosphoserine phosphatase activity"	2
"GO:0036440 - citrate synthase activity"	2
"GO:0042578 - phosphoric ester hydrolase activity"	2
"GO:0042781 - 3'-tRNA processing endoribonuclease activity"	2
"GO:0042897 - polymyxin transmembrane transporter activity"	2
"GO:0042945 - D-serine transmembrane transporter activity"	2
"GO:0042970 - homoserine transmembrane transporter activity"	2
"GO:0043136 - glycerol-3-phosphatase activity"	2
"GO:0043175 - RNA polymerase core enzyme binding"	2
"GO:0043199 - sulfate binding"	2
"GO:0043295 - glutathione binding"	2
"GO:0043726 - 5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity"	2
"GO:0043765 - T/G mismatch-specific endonuclease activity"	2
"GO:0043798 - glycerate 2-kinase activity"	2
"GO:0043877 - galactosamine-6-phosphate isomerase activity"	2
"GO:0044715 - 8-oxo-dGDP phosphatase activity"	2
"GO:0044716 - 8-oxo-GDP phosphatase activity"	2
"GO:0045152 - antisigma factor binding"	2
"GO:0046316 - gluconokinase activity"	2
"GO:0046583 - monoatomic cation efflux transmembrane transporter activity"	2
"GO:0046790 - virion binding"	2
"GO:0046820 - 4-amino-4-deoxychorismate synthase activity"	2
"GO:0046870 - cadmium ion binding"	2
"GO:0046936 - 2'-deoxyadenosine deaminase activity"	2
"GO:0046943 - carboxylic acid transmembrane transporter activity"	2
"GO:0047105 - 4-trimethylammoniobutyraldehyde dehydrogenase activity"	2
"GO:0047111 - formate dehydrogenase (cytochrome-c-553) activity"	2
"GO:0047134 - protein-disulfide reductase (NAD(P)) activity"	2
"GO:0047371 - butyrate-acetoacetate CoA-transferase activity"	2
"GO:0047372 - acylglycerol lipase activity"	2
"GO:0047419 - N-acetylgalactosamine-6-phosphate deacetylase activity"	2
"GO:0047440 - 2-dehydro-3-deoxy-D-pentonate aldolase activity"	2
"GO:0047450 - (3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase activity"	2
"GO:0047451 - (3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity"	2
"GO:0047631 - ADP-ribose diphosphatase activity"	2
"GO:0047724 - inosine nucleosidase activity"	2
"GO:0047804 - cysteine-S-conjugate beta-lyase activity"	2
"GO:0047840 - dCTP diphosphatase activity"	2
"GO:0050048 - L-leucine:2-oxoglutarate aminotransferase activity"	2
"GO:0050084 - mannitol-1-phosphatase activity"	2
"GO:0050218 - propionate-CoA ligase activity"	2
"GO:0050340 - thymidylate 5'-phosphatase activity"	2
"GO:0050355 - inorganic triphosphate phosphatase activity"	2
"GO:0050401 - xylonate dehydratase activity"	2
"GO:0050484 - GMP 5'-nucleotidase activity"	2
"GO:0050626 - trimethylamine-N-oxide reductase (cytochrome c) activity"	2
"GO:0051117 - ATPase binding"	2
"GO:0051540 - metal cluster binding"	2
"GO:0052657 - guanine phosphoribosyltransferase activity"	2
"GO:0052816 - long-chain fatty acyl-CoA hydrolase activity"	2
"GO:0061522 - 1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity"	2
"GO:0061799 - cyclic pyranopterin monophosphate synthase activity"	2
"GO:0062193 - D-ribose pyranase activity"	2
"GO:0070025 - carbon monoxide binding"	2
"GO:0070026 - nitric oxide binding"	2
"GO:0070041 - rRNA (uridine-C5-)-methyltransferase activity"	2
"GO:0070043 - rRNA (guanine-N7-)-methyltransferase activity"	2
"GO:0070095 - fructose-6-phosphate binding"	2
"GO:0070573 - metallodipeptidase activity"	2
"GO:0070677 - rRNA (cytosine-2'-O-)-methyltransferase activity"	2
"GO:0070905 - serine binding"	2
"GO:0070968 - pyrroloquinoline quinone binding"	2
"GO:0071667 - DNA/RNA hybrid binding"	2
"GO:0071713 - para-aminobenzoyl-glutamate hydrolase activity"	2
"GO:0071890 - bicarbonate binding"	2
"GO:0090482 - vitamin transmembrane transporter activity"	2
"GO:0090564 - protein-phosphocysteine-glucose phosphotransferase system transporter activity"	2
"GO:0090566 - protein-phosphocysteine-N,N'-diacetylchitobiose phosphotransferase system transporter activity"	2
"GO:0097023 - fructose 6-phosphate aldolase activity"	2
"GO:0098531 - ligand-activated transcription factor activity"	2
