"Class Biological Process"	"Total of Genes"
"GO:0009257 - 10-formyltetrahydrofolate biosynthetic process"	4
"GO:0009271 - phage shock"	4
"GO:0009651 - response to salt stress"	4
"GO:0009992 - intracellular water homeostasis"	4
"GO:0010272 - response to silver ion"	4
"GO:0015687 - ferric-hydroxamate import into cell"	4
"GO:0015689 - molybdate ion transport"	4
"GO:0015724 - formate transport"	4
"GO:0015753 - D-xylose transmembrane transport"	4
"GO:0015764 - N-acetylglucosamine transport"	4
"GO:0015765 - methylgalactoside transport"	4
"GO:0015772 - oligosaccharide transport"	4
"GO:0015796 - galactitol transmembrane transport"	4
"GO:0015801 - aromatic amino acid transport"	4
"GO:0015808 - L-alanine transport"	4
"GO:0015811 - L-cystine transport"	4
"GO:0015825 - L-serine transport"	4
"GO:0015838 - amino-acid betaine transport"	4
"GO:0015858 - nucleoside transport"	4
"GO:0015861 - cytidine transport"	4
"GO:0015862 - uridine transport"	4
"GO:0015908 - fatty acid transport"	4
"GO:0015937 - coenzyme A biosynthetic process"	4
"GO:0015968 - stringent response"	4
"GO:0016070 - RNA metabolic process"	4
"GO:0018104 - peptidoglycan-protein cross-linking"	4
"GO:0018130 - heterocycle biosynthetic process"	4
"GO:0019240 - citrulline biosynthetic process"	4
"GO:0019285 - glycine betaine biosynthetic process from choline"	4
"GO:0019290 - siderophore biosynthetic process"	4
"GO:0019294 - keto-3-deoxy-D-manno-octulosonic acid biosynthetic process"	4
"GO:0019305 - dTDP-rhamnose biosynthetic process"	4
"GO:0019353 - protoporphyrinogen IX biosynthetic process from glutamate"	4
"GO:0019464 - glycine decarboxylation via glycine cleavage system"	4
"GO:0019477 - L-lysine catabolic process"	4
"GO:0019594 - mannitol metabolic process"	4
"GO:0019628 - urate catabolic process"	4
"GO:0019629 - propionate catabolic process, 2-methylcitrate cycle"	4
"GO:0019852 - L-ascorbic acid metabolic process"	4
"GO:0030003 - intracellular monoatomic cation homeostasis"	4
"GO:0030388 - fructose 1,6-bisphosphate metabolic process"	4
"GO:0031554 - regulation of termination of DNA-templated transcription"	4
"GO:0032049 - cardiolipin biosynthetic process"	4
"GO:0032264 - IMP salvage"	4
"GO:0032359 - provirus excision"	4
"GO:0034194 - D-galactonate catabolic process"	4
"GO:0034355 - NAD salvage"	4
"GO:0034661 - ncRNA catabolic process"	4
"GO:0034755 - iron ion transmembrane transport"	4
"GO:0034763 - negative regulation of transmembrane transport"	4
"GO:0036104 - Kdo2-lipid A biosynthetic process"	4
"GO:0036506 - maintenance of unfolded protein"	4
"GO:0042245 - RNA repair"	4
"GO:0042413 - carnitine catabolic process"	4
"GO:0042742 - defense response to bacterium"	4
"GO:0042744 - hydrogen peroxide catabolic process"	4
"GO:0042823 - pyridoxal phosphate biosynthetic process"	4
"GO:0042838 - D-glucarate catabolic process"	4
"GO:0042867 - pyruvate catabolic process"	4
"GO:0042882 - L-arabinose transmembrane transport"	4
"GO:0042906 - xanthine transport"	4
"GO:0042918 - alkanesulfonate transport"	4
"GO:0042930 - enterobactin transport"	4
"GO:0042939 - tripeptide transport"	4
"GO:0043164 - Gram-negative-bacterium-type cell wall biogenesis"	4
"GO:0043470 - regulation of carbohydrate catabolic process"	4
"GO:0043953 - protein transport by the Tat complex"	4
"GO:0044248 - cellular catabolic process"	4
"GO:0045004 - DNA replication proofreading"	4
"GO:0045727 - positive regulation of translation"	4
"GO:0045948 - positive regulation of translational initiation"	4
"GO:0046176 - aldonic acid catabolic process"	4
"GO:0046183 - L-idonate catabolic process"	4
"GO:0046210 - nitric oxide catabolic process"	4
"GO:0046392 - galactarate catabolic process"	4
"GO:0046487 - glyoxylate metabolic process"	4
"GO:0046685 - response to arsenic-containing substance"	4
"GO:0046813 - receptor-mediated virion attachment to host cell"	4
"GO:0048255 - mRNA stabilization"	4
"GO:0051495 - positive regulation of cytoskeleton organization"	4
"GO:0055070 - copper ion homeostasis"	4
"GO:0060567 - negative regulation of termination of DNA-templated transcription"	4
"GO:0080135 - regulation of cellular response to stress"	4
"GO:0089705 - protein localization to outer membrane"	4
"GO:0090143 - nucleoid organization"	4
"GO:0097639 - L-lysine import across plasma membrane"	4
"GO:0098708 - glucose import across plasma membrane"	4
"GO:0098712 - L-glutamate import across plasma membrane"	4
"GO:0098713 - leucine import across plasma membrane"	4
"GO:0098775 - curli assembly"	4
"GO:0110154 - RNA decapping"	4
"GO:0140271 - hexose import across plasma membrane"	4
"GO:1900231 - regulation of single-species biofilm formation on inanimate substrate"	4
"GO:1900232 - negative regulation of single-species biofilm formation on inanimate substrate"	4
"GO:1900727 - osmoregulated periplasmic glucan biosynthetic process"	4
"GO:1901565 - organonitrogen compound catabolic process"	4
"GO:1902344 - negative regulation of maltose transport"	4
"GO:1902476 - chloride transmembrane transport"	4
"GO:1903457 - lactate catabolic process"	4
"GO:1903712 - cysteine transmembrane transport"	4
"GO:1903810 - L-histidine import across plasma membrane"	4
"GO:1903826 - L-arginine transmembrane transport"	4
"GO:1904572 - negative regulation of mRNA binding"	4
"GO:1904823 - purine nucleobase transmembrane transport"	4
"GO:2001059 - D-tagatose 6-phosphate catabolic process"	4
"GO:2001295 - malonyl-CoA biosynthetic process"	4
"GO:0000303 - response to superoxide"	3
"GO:0000902 - cell morphogenesis"	3
"GO:0000967 - rRNA 5'-end processing"	3
"GO:0001407 - glycerophosphodiester transmembrane transport"	3
"GO:0001558 - regulation of cell growth"	3
"GO:0002097 - tRNA wobble base modification"	3
"GO:0002943 - tRNA dihydrouridine synthesis"	3
"GO:0006000 - fructose metabolic process"	3
"GO:0006015 - 5-phosphoribose 1-diphosphate biosynthetic process"	3
"GO:0006040 - amino sugar metabolic process"	3
"GO:0006043 - glucosamine catabolic process"	3
"GO:0006051 - N-acetylmannosamine metabolic process"	3
"GO:0006085 - acetyl-CoA biosynthetic process"	3
"GO:0006116 - NADH oxidation"	3
"GO:0006163 - purine nucleotide metabolic process"	3
"GO:0006203 - dGTP catabolic process"	3
"GO:0006220 - pyrimidine nucleotide metabolic process"	3
"GO:0006226 - dUMP biosynthetic process"	3
"GO:0006227 - dUDP biosynthetic process"	3
"GO:0006233 - dTDP biosynthetic process"	3
"GO:0006272 - leading strand elongation"	3
"GO:0006273 - lagging strand elongation"	3
"GO:0006285 - base-excision repair, AP site formation"	3
"GO:0006294 - nucleotide-excision repair, preincision complex assembly"	3
"GO:0006338 - chromatin remodeling"	3
"GO:0006424 - glutamyl-tRNA aminoacylation"	3
"GO:0006430 - lysyl-tRNA aminoacylation"	3
"GO:0006479 - protein methylation"	3
"GO:0006523 - alanine biosynthetic process"	3
"GO:0006538 - glutamate catabolic process"	3
"GO:0006545 - glycine biosynthetic process"	3
"GO:0006546 - glycine catabolic process"	3
"GO:0006554 - lysine catabolic process"	3
"GO:0006566 - threonine metabolic process"	3
"GO:0006569 - tryptophan catabolic process"	3
"GO:0006571 - tyrosine biosynthetic process"	3
"GO:0006598 - polyamine catabolic process"	3
"GO:0006612 - protein targeting to membrane"	3
"GO:0006614 - SRP-dependent cotranslational protein targeting to membrane"	3
"GO:0006637 - acyl-CoA metabolic process"	3
"GO:0006650 - glycerophospholipid metabolic process"	3
"GO:0006750 - glutathione biosynthetic process"	3
"GO:0006753 - nucleoside phosphate metabolic process"	3
"GO:0006772 - thiamine metabolic process"	3
"GO:0006801 - superoxide metabolic process"	3
"GO:0006805 - xenobiotic metabolic process"	3
"GO:0006820 - monoatomic anion transport"	3
"GO:0006821 - chloride transport"	3
"GO:0006880 - intracellular sequestering of iron ion"	3
"GO:0006882 - intracellular zinc ion homeostasis"	3
"GO:0006995 - cellular response to nitrogen starvation"	3
"GO:0007638 - mechanosensory behavior"	3
"GO:0008153 - para-aminobenzoic acid biosynthetic process"	3
"GO:0008655 - pyrimidine-containing compound salvage"	3
"GO:0009093 - cysteine catabolic process"	3
"GO:0009114 - hypoxanthine catabolic process"	3
"GO:0009164 - nucleoside catabolic process"	3
"GO:0009225 - nucleotide-sugar metabolic process"	3
"GO:0009290 - DNA import into cell involved in transformation"	3
"GO:0009294 - DNA-mediated transformation"	3
"GO:0009298 - GDP-mannose biosynthetic process"	3
"GO:0009313 - oligosaccharide catabolic process"	3
"GO:0009395 - phospholipid catabolic process"	3
"GO:0009407 - toxin catabolic process"	3
"GO:0009416 - response to light stimulus"	3
"GO:0009440 - cyanate catabolic process"	3
"GO:0009443 - pyridoxal 5'-phosphate salvage"	3
"GO:0009454 - aerotaxis"	3
"GO:0009970 - cellular response to sulfate starvation"	3
"GO:0010038 - response to metal ion"	3
"GO:0010045 - response to nickel cation"	3
"GO:0010243 - response to organonitrogen compound"	3
"GO:0010350 - cellular response to magnesium starvation"	3
"GO:0010446 - response to alkaline pH"	3
"GO:0010608 - post-transcriptional regulation of gene expression"	3
"GO:0015707 - nitrite transport"	3
"GO:0015734 - taurine transport"	3
"GO:0015751 - arabinose transmembrane transport"	3
"GO:0015754 - allose transmembrane transport"	3
"GO:0015755 - fructose transmembrane transport"	3
"GO:0015760 - glucose-6-phosphate transport"	3
"GO:0015761 - mannose transmembrane transport"	3
"GO:0015771 - trehalose transport"	3
"GO:0015830 - diaminopimelate transport"	3
"GO:0015836 - lipid-linked peptidoglycan transport"	3
"GO:0015848 - spermidine transport"	3
"GO:0015864 - pyrimidine nucleoside transport"	3
"GO:0015882 - L-ascorbic acid transmembrane transport"	3
"GO:0015904 - tetracycline transmembrane transport"	3
"GO:0015970 - guanosine tetraphosphate biosynthetic process"	3
"GO:0016024 - CDP-diacylglycerol biosynthetic process"	3
"GO:0016032 - viral process"	3
"GO:0016051 - carbohydrate biosynthetic process"	3
"GO:0016075 - rRNA catabolic process"	3
"GO:0016120 - carotene biosynthetic process"	3
"GO:0016123 - xanthophyll biosynthetic process"	3
"GO:0016260 - selenocysteine biosynthetic process"	3
"GO:0016540 - protein autoprocessing"	3
"GO:0018378 - cytochrome c-heme linkage via heme-L-cysteine"	3
"GO:0018907 - dimethyl sulfoxide metabolic process"	3
"GO:0019316 - D-allose catabolic process"	3
"GO:0019395 - fatty acid oxidation"	3
"GO:0019404 - galactitol catabolic process"	3
"GO:0019450 - L-cysteine catabolic process to pyruvate"	3
"GO:0019516 - lactate oxidation"	3
"GO:0019538 - protein metabolic process"	3
"GO:0019546 - arginine deiminase pathway"	3
"GO:0019569 - L-arabinose catabolic process to xylulose 5-phosphate"	3
"GO:0019571 - D-arabinose catabolic process"	3
"GO:0019572 - L-arabinose catabolic process"	3
"GO:0019588 - anaerobic glycerol catabolic process"	3
"GO:0019622 - 3-(3-hydroxy)phenylpropionate catabolic process"	3
"GO:0019637 - organophosphate metabolic process"	3
"GO:0019676 - ammonia assimilation cycle"	3
"GO:0019693 - ribose phosphate metabolic process"	3
"GO:0019858 - cytosine metabolic process"	3
"GO:0019985 - translesion synthesis"	3
"GO:0023019 - signal transduction involved in regulation of gene expression"	3
"GO:0030026 - intracellular manganese ion homeostasis"	3
"GO:0030164 - protein denaturation"	3
"GO:0030174 - regulation of DNA-templated DNA replication initiation"	3
"GO:0030497 - fatty acid elongation"	3
"GO:0030980 - alpha-glucan catabolic process"	3
"GO:0031589 - cell-substrate adhesion"	3
"GO:0031669 - cellular response to nutrient levels"	3
"GO:0032263 - GMP salvage"	3
"GO:0032298 - positive regulation of DNA-templated DNA replication initiation"	3
"GO:0032324 - molybdopterin cofactor biosynthetic process"	3
"GO:0032790 - ribosome disassembly"	3
"GO:0034198 - cellular response to amino acid starvation"	3
"GO:0034204 - lipid translocation"	3
"GO:0034337 - RNA folding"	3
"GO:0035443 - tripeptide transmembrane transport"	3
"GO:0035444 - nickel cation transmembrane transport"	3
"GO:0036172 - thiamine salvage"	3
"GO:0036448 - cellular response to glucose-phosphate stress"	3
"GO:0036503 - ERAD pathway"	3
"GO:0036525 - protein deglycation"	3
"GO:0042150 - plasmid recombination"	3
"GO:0042177 - negative regulation of protein catabolic process"	3
"GO:0042182 - ketone catabolic process"	3
"GO:0042256 - cytosolic ribosome assembly"	3
"GO:0042276 - error-prone translesion synthesis"	3
"GO:0042372 - phylloquinone biosynthetic process"	3
"GO:0042816 - vitamin B6 metabolic process"	3
"GO:0042941 - D-alanine transport"	3
"GO:0042953 - lipoprotein transport"	3
"GO:0043200 - response to amino acid"	3
"GO:0043571 - maintenance of CRISPR repeat elements"	3
"GO:0044206 - UMP salvage"	3
"GO:0044209 - AMP salvage"	3
"GO:0044255 - cellular lipid metabolic process"	3
"GO:0045227 - capsule polysaccharide biosynthetic process"	3
"GO:0045471 - response to ethanol"	3
"GO:0045900 - negative regulation of translational elongation"	3
"GO:0045974 - regulation of translation, ncRNA-mediated"	3
"GO:0046050 - UMP catabolic process"	3
"GO:0046294 - formaldehyde catabolic process"	3
"GO:0046306 - alkanesulfonate catabolic process"	3
"GO:0046377 - colanic acid metabolic process"	3
"GO:0046459 - short-chain fatty acid metabolic process"	3
"GO:0046686 - response to cadmium ion"	3
"GO:0048473 - D-methionine transport"	3
"GO:0048523 - negative regulation of cellular process"	3
"GO:0050918 - positive chemotaxis"	3
"GO:0051156 - glucose 6-phosphate metabolic process"	3
"GO:0051260 - protein homooligomerization"	3
"GO:0051409 - response to nitrosative stress"	3
"GO:0051781 - positive regulation of cell division"	3
"GO:0052837 - thiazole biosynthetic process"	3
"GO:0055086 - nucleobase-containing small molecule metabolic process"	3
"GO:0055129 - L-proline biosynthetic process"	3
"GO:0070297 - regulation of phosphorelay signal transduction system"	3
"GO:0070417 - cellular response to cold"	3
"GO:0070482 - response to oxygen levels"	3
"GO:0070574 - cadmium ion transmembrane transport"	3
"GO:0070614 - tungstate ion transport"	3
"GO:0070778 - L-aspartate transmembrane transport"	3
"GO:0071230 - cellular response to amino acid stimulus"	3
"GO:0071276 - cellular response to cadmium ion"	3
"GO:0071286 - cellular response to magnesium ion"	3
"GO:0071934 - thiamine transmembrane transport"	3
"GO:0072348 - sulfur compound transport"	3
"GO:0089709 - L-histidine transmembrane transport"	3
"GO:0090071 - negative regulation of ribosome biogenesis"	3
"GO:0090304 - nucleic acid metabolic process"	3
"GO:0090452 - lithium ion transmembrane transport"	3
"GO:0090549 - response to carbon starvation"	3
"GO:0097171 - ADP-L-glycero-beta-D-manno-heptose biosynthetic process"	3
"GO:0097533 - cellular stress response to acid chemical"	3
"GO:0097640 - L-ornithine import across plasma membrane"	3
"GO:0098777 - protein secretion by the type VIII secretion system"	3
"GO:0110095 - cellular detoxification of aldehyde"	3
"GO:1901264 - carbohydrate derivative transport"	3
"GO:1901362 - organic cyclic compound biosynthetic process"	3
"GO:1901605 - alpha-amino acid metabolic process"	3
"GO:1901652 - response to peptide"	3
"GO:1901875 - positive regulation of post-translational protein modification"	3
"GO:1902075 - cellular response to salt"	3
"GO:1902209 - negative regulation of bacterial-type flagellum assembly"	3
"GO:1902210 - positive regulation of bacterial-type flagellum assembly"	3
"GO:1902421 - hydrogen metabolic process"	3
"GO:1902599 - sulfathiazole transmembrane transport"	3
"GO:1902626 - assembly of large subunit precursor of preribosome"	3
"GO:1902815 - N,N'-diacetylchitobiose import"	3
"GO:1903692 - methionine import across plasma membrane"	3
"GO:1903803 - L-glutamine import across plasma membrane"	3
"GO:1903804 - glycine import across plasma membrane"	3
"GO:1903830 - magnesium ion transmembrane transport"	3
"GO:1904981 - maltose transmembrane transport"	3
"GO:2000245 - negative regulation of FtsZ-dependent cytokinesis"	3
"GO:2000766 - negative regulation of cytoplasmic translation"	3
"GO:0000025 - maltose catabolic process"	2
"GO:0000101 - sulfur amino acid transport"	2
"GO:0000154 - rRNA modification"	2
"GO:0000470 - maturation of LSU-rRNA"	2
"GO:0000488 - maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)"	2
"GO:0000489 - maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)"	2
"GO:0000715 - nucleotide-excision repair, DNA damage recognition"	2
"GO:0000717 - nucleotide-excision repair, DNA duplex unwinding"	2
"GO:0000918 - division septum site selection"	2
"GO:0001514 - selenocysteine incorporation"	2
"GO:0001676 - long-chain fatty acid metabolic process"	2
"GO:0001682 - tRNA 5'-leader removal"	2
"GO:0001731 - formation of translation preinitiation complex"	2
"GO:0001896 - autolysis"	2
"GO:0001907 - killing by symbiont of host cells"	2
"GO:0002099 - tRNA wobble guanine modification"	2
"GO:0002128 - tRNA nucleoside ribose methylation"	2
"GO:0002926 - tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation"	2
"GO:0002937 - tRNA 4-thiouridine biosynthesis"	2
"GO:0005990 - lactose catabolic process"	2
"GO:0005992 - trehalose biosynthetic process"	2
"GO:0006014 - D-ribose metabolic process"	2
"GO:0006020 - inositol metabolic process"	2
"GO:0006032 - chitin catabolic process"	2
"GO:0006047 - UDP-N-acetylglucosamine metabolic process"	2
"GO:0006062 - sorbitol catabolic process"	2
"GO:0006064 - glucuronate catabolic process"	2
"GO:0006066 - alcohol metabolic process"	2
"GO:0006082 - organic acid metabolic process"	2
"GO:0006089 - lactate metabolic process"	2
"GO:0006091 - generation of precursor metabolites and energy"	2
"GO:0006106 - fumarate metabolic process"	2
"GO:0006107 - oxaloacetate metabolic process"	2
"GO:0006145 - purine nucleobase catabolic process"	2
"GO:0006177 - GMP biosynthetic process"	2
"GO:0006183 - GTP biosynthetic process"	2
"GO:0006225 - UDP biosynthetic process"	2
"GO:0006228 - UTP biosynthetic process"	2
"GO:0006241 - CTP biosynthetic process"	2
"GO:0006266 - DNA ligation"	2
"GO:0006271 - DNA strand elongation involved in DNA replication"	2
"GO:0006301 - postreplication repair"	2
"GO:0006369 - termination of RNA polymerase II transcription"	2
"GO:0006397 - mRNA processing"	2
"GO:0006399 - tRNA metabolic process"	2
"GO:0006420 - arginyl-tRNA aminoacylation"	2
"GO:0006426 - glycyl-tRNA aminoacylation"	2
"GO:0006432 - phenylalanyl-tRNA aminoacylation"	2
"GO:0006448 - regulation of translational elongation"	2
"GO:0006487 - protein N-linked glycosylation"	2
"GO:0006506 - GPI anchor biosynthetic process"	2
"GO:0006518 - peptide metabolic process"	2
"GO:0006522 - alanine metabolic process"	2
"GO:0006529 - asparagine biosynthetic process"	2
"GO:0006532 - aspartate biosynthetic process"	2
"GO:0006533 - aspartate catabolic process"	2
"GO:0006534 - cysteine metabolic process"	2
"GO:0006542 - glutamine biosynthetic process"	2
"GO:0006543 - glutamine catabolic process"	2
"GO:0006552 - leucine catabolic process"	2
"GO:0006555 - methionine metabolic process"	2
"GO:0006556 - S-adenosylmethionine biosynthetic process"	2
"GO:0006576 - biogenic amine metabolic process"	2
"GO:0006591 - ornithine metabolic process"	2
"GO:0006644 - phospholipid metabolic process"	2
"GO:0006654 - phosphatidic acid biosynthetic process"	2
"GO:0006740 - NADPH regeneration"	2
"GO:0006751 - glutathione catabolic process"	2
"GO:0006760 - folic acid-containing compound metabolic process"	2
"GO:0006780 - uroporphyrinogen III biosynthetic process"	2
"GO:0006785 - heme B biosynthetic process"	2
"GO:0006798 - polyphosphate catabolic process"	2
"GO:0006833 - water transport"	2
"GO:0006835 - dicarboxylic acid transport"	2
"GO:0006849 - plasma membrane pyruvate transport"	2
"GO:0007031 - peroxisome organization"	2
"GO:0007172 - signal complex assembly"	2
"GO:0007231 - osmosensory signaling pathway"	2
"GO:0007234 - osmosensory signaling via phosphorelay pathway"	2
"GO:0008202 - steroid metabolic process"	2
"GO:0009051 - pentose-phosphate shunt, oxidative branch"	2
"GO:0009067 - aspartate family amino acid biosynthetic process"	2
"GO:0009107 - lipoate biosynthetic process"	2
"GO:0009113 - purine nucleobase biosynthetic process"	2
"GO:0009132 - nucleoside diphosphate metabolic process"	2
"GO:0009152 - purine ribonucleotide biosynthetic process"	2
"GO:0009226 - nucleotide-sugar biosynthetic process"	2
"GO:0009255 - Entner-Doudoroff pathway through 6-phosphogluconate"	2
"GO:0009264 - deoxyribonucleotide catabolic process"	2
"GO:0009273 - peptidoglycan-based cell wall biogenesis"	2
"GO:0009399 - nitrogen fixation"	2
"GO:0009446 - putrescine biosynthetic process"	2
"GO:0009448 - gamma-aminobutyric acid metabolic process"	2
"GO:0009589 - detection of UV"	2
"GO:0009593 - detection of chemical stimulus"	2
"GO:0009750 - response to fructose"	2
"GO:0010027 - thylakoid membrane organization"	2
"GO:0010106 - cellular response to iron ion starvation"	2
"GO:0010629 - negative regulation of gene expression"	2
"GO:0010810 - regulation of cell-substrate adhesion"	2
"GO:0010960 - magnesium ion homeostasis"	2
"GO:0014070 - response to organic cyclic compound"	2
"GO:0015679 - plasma membrane copper ion transport"	2
"GO:0015693 - magnesium ion transport"	2
"GO:0015706 - nitrate transmembrane transport"	2
"GO:0015710 - tellurite transport"	2
"GO:0015727 - lactate transport"	2
"GO:0015739 - sialic acid transport"	2
"GO:0015744 - succinate transport"	2
"GO:0015756 - fucose transmembrane transport"	2
"GO:0015793 - glycerol transmembrane transport"	2
"GO:0015797 - mannitol transmembrane transport"	2
"GO:0015813 - L-glutamate transmembrane transport"	2
"GO:0015818 - isoleucine transport"	2
"GO:0015822 - ornithine transport"	2
"GO:0015827 - tryptophan transport"	2
"GO:0015829 - valine transport"	2
"GO:0015837 - amine transport"	2
"GO:0015851 - nucleobase transport"	2
"GO:0015853 - adenine transport"	2
"GO:0015854 - guanine transport"	2
"GO:0015888 - thiamine transport"	2
"GO:0015895 - alkane transport"	2
"GO:0015910 - long-chain fatty acid import into peroxisome"	2
"GO:0015951 - purine ribonucleotide interconversion"	2
"GO:0015966 - diadenosine tetraphosphate biosynthetic process"	2
"GO:0015969 - guanosine tetraphosphate metabolic process"	2
"GO:0015995 - chlorophyll biosynthetic process"	2
"GO:0016094 - polyprenol biosynthetic process"	2
"GO:0016261 - selenocysteine catabolic process"	2
"GO:0017001 - antibiotic catabolic process"	2
"GO:0017013 - protein flavinylation"	2
"GO:0017198 - N-terminal peptidyl-serine acetylation"	2
"GO:0018217 - peptidyl-aspartic acid phosphorylation"	2
"GO:0018339 - peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid"	2
"GO:0018364 - peptidyl-glutamine methylation"	2
"GO:0019068 - virion assembly"	2
"GO:0019249 - lactate biosynthetic process"	2
"GO:0019272 - L-alanine biosynthetic process from pyruvate"	2
"GO:0019284 - L-methionine salvage from S-adenosylmethionine"	2
"GO:0019298 - coenzyme B biosynthetic process"	2
"GO:0019303 - D-ribose catabolic process"	2
"GO:0019345 - cysteine biosynthetic process via S-sulfo-L-cysteine"	2
"GO:0019346 - transsulfuration"	2
"GO:0019394 - glucarate catabolic process"	2
"GO:0019413 - acetate biosynthetic process"	2
"GO:0019427 - acetyl-CoA biosynthetic process from acetate"	2
"GO:0019478 - D-amino acid catabolic process"	2
"GO:0019480 - L-alanine oxidation to pyruvate via D-alanine"	2
"GO:0019518 - L-threonine catabolic process to glycine"	2
"GO:0019580 - galactarate metabolic process"	2
"GO:0019592 - mannitol catabolic process"	2
"GO:0019607 - phenylethylamine catabolic process"	2
"GO:0019632 - shikimate metabolic process"	2
"GO:0019679 - propionate metabolic process, methylcitrate cycle"	2
"GO:0019853 - L-ascorbic acid biosynthetic process"	2
"GO:0019878 - lysine biosynthetic process via aminoadipic acid"	2
"GO:0019935 - cyclic-nucleotide-mediated signaling"	2
"GO:0022417 - protein maturation by protein folding"	2
"GO:0030153 - bacteriocin immunity"	2
"GO:0030162 - regulation of proteolysis"	2
"GO:0030258 - lipid modification"	2
"GO:0030420 - establishment of competence for transformation"	2
"GO:0030541 - plasmid partitioning"	2
"GO:0030641 - regulation of cellular pH"	2
"GO:0031123 - RNA 3'-end processing"	2
"GO:0031125 - rRNA 3'-end processing"	2
"GO:0031162 - sulfur incorporation into metallo-sulfur cluster"	2
"GO:0031388 - organic acid phosphorylation"	2
"GO:0031638 - zymogen activation"	2
"GO:0032025 - response to cobalt ion"	2
"GO:0032026 - response to magnesium ion"	2
"GO:0032272 - negative regulation of protein polymerization"	2
"GO:0032329 - serine transport"	2
"GO:0032466 - negative regulation of cytokinesis"	2
"GO:0032506 - cytokinetic process"	2
"GO:0032940 - secretion by cell"	2
"GO:0032955 - regulation of division septum assembly"	2
"GO:0032973 - amino acid export across plasma membrane"	2
"GO:0033345 - asparagine catabolic process via L-aspartate"	2
"GO:0033353 - S-adenosylmethionine cycle"	2
"GO:0033359 - lysine biosynthetic process via diaminopimelate and N-succinyl-2-amino-6-ketopimelate"	2
"GO:0033387 - putrescine biosynthetic process from ornithine"	2
"GO:0033388 - putrescine biosynthetic process from arginine"	2
"GO:0033585 - L-phenylalanine biosynthetic process from chorismate via phenylpyruvate"	2
"GO:0033611 - oxalate catabolic process"	2
"GO:0034224 - cellular response to zinc ion starvation"	2
"GO:0034227 - tRNA thio-modification"	2
"GO:0034475 - U4 snRNA 3'-end processing"	2
"GO:0034614 - cellular response to reactive oxygen species"	2
"GO:0035344 - hypoxanthine transport"	2
"GO:0035461 - vitamin transmembrane transport"	2
"GO:0035821 - modulation of process of another organism"	2
"GO:0035864 - response to potassium ion"	2
"GO:0035873 - lactate transmembrane transport"	2
"GO:0036001 - 'de novo' pyridoxal 5'-phosphate biosynthetic process"	2
"GO:0036065 - fucosylation"	2
"GO:0036108 - 4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process"	2
"GO:0036289 - peptidyl-serine autophosphorylation"	2
"GO:0036376 - sodium ion export across plasma membrane"	2
"GO:0038083 - peptidyl-tyrosine autophosphorylation"	2
"GO:0042158 - lipoprotein biosynthetic process"	2
"GO:0042278 - purine nucleoside metabolic process"	2
"GO:0042351 - 'de novo' GDP-L-fucose biosynthetic process"	2
"GO:0042364 - water-soluble vitamin biosynthetic process"	2
"GO:0042558 - pteridine-containing compound metabolic process"	2
"GO:0042559 - pteridine-containing compound biosynthetic process"	2
"GO:0042759 - long-chain fatty acid biosynthetic process"	2
"GO:0042760 - very long-chain fatty acid catabolic process"	2
"GO:0042836 - D-glucarate metabolic process"	2
"GO:0042843 - D-xylose catabolic process"	2
"GO:0042875 - D-galactonate transmembrane transport"	2
"GO:0042893 - polymyxin transport"	2
"GO:0042914 - colicin transport"	2
"GO:0042928 - ferrichrome import into cell"	2
"GO:0042942 - D-serine transport"	2
"GO:0042968 - homoserine transport"	2
"GO:0043032 - positive regulation of macrophage activation"	2
"GO:0043043 - peptide biosynthetic process"	2
"GO:0043052 - thermotaxis"	2
"GO:0043065 - positive regulation of apoptotic process"	2
"GO:0043068 - positive regulation of programmed cell death"	2
"GO:0043094 - cellular metabolic compound salvage"	2
"GO:0043107 - type IV pilus-dependent motility"	2
"GO:0043137 - DNA replication, removal of RNA primer"	2
"GO:0044038 - cell wall macromolecule biosynthetic process"	2
"GO:0044208 - 'de novo' AMP biosynthetic process"	2
"GO:0044210 - 'de novo' CTP biosynthetic process"	2
"GO:0044272 - sulfur compound biosynthetic process"	2
"GO:0044355 - clearance of foreign intracellular DNA"	2
"GO:0044571 - [2Fe-2S] cluster assembly"	2
"GO:0044787 - bacterial-type DNA replication"	2
"GO:0045490 - pectin catabolic process"	2
"GO:0045717 - negative regulation of fatty acid biosynthetic process"	2
"GO:0045733 - acetate catabolic process"	2
"GO:0045903 - positive regulation of translational fidelity"	2
"GO:0045926 - negative regulation of growth"	2
"GO:0046034 - ATP metabolic process"	2
"GO:0046037 - GMP metabolic process"	2
"GO:0046081 - dUTP catabolic process"	2
"GO:0046104 - thymidine metabolic process"	2
"GO:0046133 - pyrimidine ribonucleoside catabolic process"	2
"GO:0046167 - glycerol-3-phosphate biosynthetic process"	2
"GO:0046256 - 2,4,6-trinitrotoluene catabolic process"	2
"GO:0046295 - glycolate biosynthetic process"	2
